351;1200;Genève 28 Balexert;GE
352;1200;Genève (CLT);GE
356;1200;Genève 2 Dist;GE
358;1200;Genève Dist Ba;GE
367;1201;Genève;GE
368;1202;Genève;GE
369;1203;Genève;GE
370;1204;Genève;GE
371;1205;Genève;GE
372;1206;Genève;GE
373;1207;Genève;GE
374;1208;Genève;GE
376;1209;Genève;GE
380;1211;Genève 1;GE
381;1211;Genève 2;GE
382;1211;Genève 3;GE
383;1211;Genève 4;GE
384;1211;Genève 6;GE
385;1211;Genève 7;GE
386;1211;Genève 8;GE
388;1211;Genève 10;GE
389;1211;Genève 11;GE
390;1211;Genève 12;GE
391;1211;Genève 13;GE
393;1211;Genève 17;GE
395;1211;Genève 19;GE
396;1211;Genève 20;GE
397;1211;Genève 21;GE
398;1211;Genève 22;GE
399;1211;Genève 23;GE
402;1211;Genève 26;GE
403;1211;Genève 27;GE
404;1211;Genève 28;GE
408;1211;Genève 2 Swisscom;GE
411;1212;Grand-Lancy;GE
412;1212;Grand-Lancy 1;GE
415;1213;Petit-Lancy;GE
416;1213;Petit-Lancy 1;GE
417;1213;Petit-Lancy 2;GE
418;1213;Onex;GE
420;1214;Vernier;GE
421;1215;Genève;GE
422;1215;Genève 15 Dépôt;GE
423;1216;Cointrin;GE
424;1217;Meyrin;GE
425;1217;Meyrin 1;GE
426;1217;Meyrin 2;GE
428;1218;Le Grand-Saconnex;GE
429;1219;Le Lignon;GE
430;1219;Aïre;GE
432;1219;Châtelaine;GE
435;1220;Les Avanchets;GE
436;1222;Vésenaz;GE
438;1223;Cologny;GE
439;1224;Chêne-Bougeries;GE
440;1225;Chêne-Bourg;GE
442;1226;Thônex;GE
443;1227;Carouge GE;GE
444;1227;Les Acacias;GE
447;1228;Plan-les-Ouates;GE
448;1231;Conches;GE
449;1232;Confignon;GE
450;1233;Bernex;GE
452;1234;Vessy;GE
453;1236;Cartigny;GE
454;1237;Avully;GE
455;1239;Collex;GE
456;1241;Puplinge;GE
457;1242;Satigny;GE
458;1243;Presinge;GE
459;1244;Choulex;GE
460;1245;Collonge-Bellerive;GE
461;1246;Corsier GE;GE
462;1247;Anières;GE
463;1248;Hermance;GE
464;1251;Gy;GE
465;1252;Meinier;GE
466;1253;Vandoeuvres;GE
467;1254;Jussy;GE
468;1255;Veyrier;GE
469;1256;Troinex;GE
470;1257;La Croix-de-Rozon;GE
471;1258;Perly;GE
472;1260;Nyon;VD
473;1260;Nyon 1 Dist;VD
478;1277;Borex;VD
479;1278;La Rippe;VD
480;1279;Chavannes-de-Bogis;VD
482;1274;Grens;VD
483;1275;Chéserex;VD
484;1276;Gingins;VD
485;1270;Trélex;VD
486;1271;Givrins;VD
487;1272;Genolier;VD
488;1273;Le Muids;VD
489;1273;Arzier;VD
490;1268;Burtigny;VD
491;1261;Marchissy;VD
492;1261;Le Vaud;VD
493;1269;Bassins;VD
494;1261;Longirod;VD
495;1188;St-George;VD
496;1262;Eysins;VD
497;1263;Crassier;VD
498;1264;St-Cergue;VD
500;1265;La Cure;VD
